Performing system checks...

System check identified no issues (0 silenced).
June 10, 2015 - 17:33:43
Django version 1.8.2, using settings 'BGPInspector.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
         258486 function calls (251489 primitive calls) in 355.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:709(_removeHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:72(BaseSettings)
        4    0.000    0.000    0.000    0.000 __init__.py:726(_addHandlerRef)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:736(Handler)
        7    0.000    0.000    0.000    0.000 __init__.py:74(<dictcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:745(__init__)
      153    0.000    0.000    0.000    0.000 __init__.py:76(__setattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:761(set_name)
        3    0.000    0.000    0.000    0.000 __init__.py:774(createLock)
       16    0.000    0.000    0.000    0.000 __init__.py:782(has_default)
        3    0.000    0.000    0.000    0.000 __init__.py:788(get_default)
        2    0.000    0.000    0.000    0.000 __init__.py:797(setLevel)
        1    0.000    0.000    0.235    0.235 __init__.py:8(setup)
        1    0.000    0.000    0.000    0.000 __init__.py:82(Settings)
        1    0.000    0.000    0.001    0.001 __init__.py:83(__init__)
      820    0.000    0.000    0.000    0.000 __init__.py:83(__iter__)
       80    0.000    0.000    0.000    0.000 __init__.py:854(_get_choices)
       13    0.000    0.000    0.001    0.000 __init__.py:876(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:90(Field)
        1    0.000    0.000    0.000    0.000 __init__.py:91(CacheHandler)
    38/37    0.000    0.000    0.093    0.003 __init__.py:91(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:921(AutoField)
        1    0.000    0.000    0.000    0.000 __init__.py:921(StreamHandler)
        9    0.000    0.000    0.000    0.000 __init__.py:929(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:930(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:97(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:972(FileHandler)
        9    0.000    0.000    0.000    0.000 __init__.py:987(contribute_to_class)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:994(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:998(BooleanField)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:105(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:108(<genexpr>)
       29    0.000    0.000    0.000    0.000 _collections_abc.py:135(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:403(get)
